topic_id,topic_name,description,hit_count,example_titles
153,a dog dies,"This trigger is for people who are upset by the death of a canine companion. Dogs are often portrayed as loyal friends in films, and their death can be very triggering.
",34,"Fight Club, Hereditary, The Exorcist"
158,a kid dies,"Depictions of a child's death, whether accidental, intentional, or from illness.
",28,"Hereditary, Talk to Me, Train to Busan"
161,there are jump scares,"Sudden and unexpected moments of startling noise or visual effects.
",34,"Hereditary, Talk to Me, The Exorcist"
164,someone is burned alive,"Depictions of a person being consumed by fire.
",28,"Fight Club, Hereditary, Train to Busan"
165,there are spiders,"This trigger is for people with arachnophobia, a fear of spiders. Even brief appearances of spiders can cause anxiety and distress for some viewers.
",20,"Fight Club, Hereditary, Talk to Me"
167,there's flashing lights or images,"Rapidly flashing lights or images that can trigger seizures or discomfort in some viewers.
",32,"Fight Club, Talk to Me, The Exorcist"
168,a parent dies,"The death of a parent, leading to profound emotional trauma and life changes.
",39,"Fight Club, Hereditary, The Exorcist"
171,there's finger/toe mutilation,"Depictions of injuries to fingers or toes.
",21,"Fight Club, Hereditary, Talk to Me"
174,there are clowns,"Depictions of clowns, often associated with childhood trauma and fear.
",10,"Get Out, Hereditary, The Babadook"
176,there are shower scenes,,28,"Fight Club, Hereditary, The Exorcist"
177,there's shaving/cutting,"Depictions of self-harm or other cutting actions.
",38,"Fight Club, Hereditary, The Exorcist"
180,there's spitting,"Depictions of a person expelling saliva.
",38,"Fight Club, Hereditary, The Exorcist"
181,shaky cam is used,"A handheld camera technique that can create a sense of disorientation or unease.
",33,"Fight Club, Hereditary, The Exorcist"
182,someone is sexually assaulted,"A character is sexually assaulted or harassed.
",31,"Fight Club, Hereditary, The Exorcist"
183,a horse dies,"This trigger is for people who are upset by the death of a horse. Horses are often seen as majestic creatures, and their death can be a difficult scene to watch, especially for animal lovers or horse enthusiasts.
",21,"Hereditary, Talk to Me, The Exorcist"
184,a car crashes,"Depictions of a car accident.
",28,"Fight Club, Hereditary, Talk to Me"
186,a cat dies,"This trigger is for people who are upset by the death of a feline companion. Cats can form strong bonds with their owners, and their death on screen can be emotionally difficult to watch.
",18,"Hereditary, The Babadook, Train to Busan"
187,someone dies by suicide,"Depictions of a person taking their own life.
",24,"Fight Club, Hereditary, The Exorcist"
188,there's blood/gore,"Depictions of blood, violence, and bodily fluids.
",42,"Fight Club, Hereditary, The Exorcist"
189,an animal dies,"This trigger is a broader category encompassing the death of any animal depicted on screen. It's useful for viewers who are sensitive to animal death in general.
",35,"Hereditary, Talk to Me, Train to Busan"
190,needles/syringes are used,"The use of sharp objects to inject or withdraw substances.
",18,"Fight Club, Talk to Me, The Exorcist"
191,someone drowns,"Depictions of a person being submerged in water and unable to breathe.
",13,"Hereditary, Ringu, Talk to Me"
192,there's a hospital scene,"Scenes set in a hospital environment.
",27,"Fight Club, Hereditary, The Exorcist"
193,someone uses drugs,"This trigger encompasses the use of various illicit substances and can be distressing for people recovering from drug addiction, those with family members struggling with addiction, or individuals concerned about the negative impacts of drug use.
",32,"Fight Club, Hereditary, The Exorcist"
194,an LGBT person dies,"The death of an individual who identifies as lesbian, gay, bisexual, transgender, or queer.
",14,"Fight Club, Hereditary, The Exorcist"
195,there's body dysmorphia,Depictions of individuals with an excessive preoccupation with perceived flaws in their appearance.,18,"Fight Club, Hereditary, The Exorcist"
196,a dragon dies,"This trigger is for viewers who may be attached to a fictional creature's well-being, even if it's a fantasy element like a dragon. This can be especially true if the dragon is portrayed as a sympathetic character.
",19,"Hereditary, Talk to Me, The Exorcist"
197,there is sexual content,"Depictions of sexual acts or behaviors.
",36,"Fight Club, Hereditary, The Exorcist"
198,a plane crashes,"Depictions of an airplane accident.
",11,"Fight Club, Hereditary, Train to Busan"
199,someone self harms,"Depictions of individuals intentionally causing harm to themselves.
",22,"Fight Club, Hereditary, The Exorcist"
200,there's eye mutilation,"Graphic depictions of injuries to eyes.
",25,"Fight Club, Hereditary, The Exorcist"
201,someone vomits,Depictions of a person expelling stomach contents.,32,"Fight Club, Hereditary, The Exorcist"
202,there's a claustrophobic scene,"Depictions of confined spaces that can trigger fear or anxiety in individuals with claustrophobia.
",31,"Hereditary, Talk to Me, The Exorcist"
203,there's torture,"Depictions of inflicting severe pain or suffering.
",32,"Fight Club, Hereditary, The Exorcist"
204,someone has cancer,"Depictions of a person diagnosed with cancer.
",14,"Airplane, Fight Club, Hereditary"
205,electro-therapy is used,"The use of electrical current to treat medical conditions.
",9,"Mad Max: Fury Road, Talk to Me, The Exorcist"
206,someone has a seizure,"Depictions of uncontrolled electrical activity in the brain.
",16,"Hereditary, Talk to Me, The Exorcist"
207,there's ghosts,"Depictions of spirits of the dead, often associated with haunting and supernatural phenomena.
",17,"Hereditary, Talk to Me, The Exorcist"
208,a person is hit by a car,"Depictions of a person being struck by a vehicle.
",20,"Fight Club, Hereditary, Talk to Me"
209,Santa (et al) is spoiled,"Depictions of characters revealing the truth about fictional or mythical figures, such as Santa Claus, the Easter Bunny, or the Tooth Fairy, to children who believe in them. This can lead to disappointment, disillusionment, and a loss of innocence. 
",9,"Fight Club, La La Land, Mean Girls"
210,teeth are damaged,"Depictions of injuries to teeth.
",28,"Fight Club, Hereditary, Talk to Me"
211,someone falls to their death,"Depictions of a fatal fall.
",23,"Fight Club, Hereditary, The Exorcist"
212,someone speaks hate speech,"The use of language that promotes hatred or violence against a particular group.
",38,"Fight Club, Hereditary, The Exorcist"
213,there are bugs,"This trigger is for people with entomophobia, a fear of insects. Even brief appearances of bugs can cause anxiety and distress.
",27,"Fight Club, Hereditary, The Exorcist"
214,there are snakes,"This trigger is for people with ophidiophobia, a fear of snakes. Even brief appearances of snakes can cause anxiety and distress for some viewers.
",15,"Fight Club, Get Out, Hereditary"
215,someone miscarries,"The spontaneous loss of a pregnancy before the 20th week.
",6,"Die Hard, Hereditary, Mad Max: Fury Road"
216,someone breaks a bone,"Depictions of bone fractures.
",35,"Fight Club, Hereditary, The Exorcist"
217,someone has an eating disorder,"Depictions of individuals with disordered eating patterns.
",13,"Fight Club, Hereditary, Train to Busan"
218,there's child abuse,"This trigger specifically focuses on the abuse of children, which can be particularly disturbing and upsetting. It can be triggering for survivors of child abuse, those who work with children, and individuals who have a strong protective instinct towards children.
",33,"Fight Club, Hereditary, The Exorcist"
